Date/Time,Word Count,en,zh-Hans
2024.08.14-00.09.02,2403,0,2403
2024.08.14-08.42.26,4564,0,4564
2024.08.14-08.44.36,4564,17,4564
2024.08.14-08.53.17,7580,17,7580
2024.08.14-08.56.27,7580,27,7580
2024.08.14-08.59.40,7580,33,7580
2024.08.14-09.53.27,5472,33,5472
2024.08.14-14.15.21,7077,33,7077
2024.08.14-14.16.20,7077,38,7077
2024.08.14-17.58.23,7226,38,7226
2024.08.14-17.59.27,7226,43,7226
2024.11.13-16.18.14,9412,10,9412
2024.11.13-16.22.54,9412,14,9412
2024.11.13-16.25.57,12240,14,12240
2024.11.13-16.29.23,12240,16,12240
2024.11.13-16.37.31,12240,28,12240
2024.11.13-16.41.03,12240,74,12240
2024.11.13-16.46.56,12240,75,12240
2024.11.13-16.51.14,12240,84,12240
2024.11.13-17.03.24,12250,84,12250
2024.11.13-17.04.21,12252,84,12252
